,note_name,start_time,duration,velocity,tempo
383,E4,116.0,191/500,83,120.0
384,A3,116.382,291/500,85,120.0
385,C#4,116.405,117/250,80,120.0
386,E4,116.405,117/250,80,120.0
387,D4,116.941,559/1000,95,120.0
388,A3,116.941,559/1000,95,120.0
389,F#4,116.941,559/1000,95,120.0
390,D3,117.523,191/250,80,120.0
391,D4,117.523,13/20,46,120.0
392,A3,117.523,111/200,86,120.0
393,F#4,117.523,111/200,86,120.0
394,F#4,118.077,559/1000,90,120.0
395,A3,118.077,559/1000,90,120.0
396,D4,118.173,243/500,95,120.0
397,A3,118.659,67/125,90,120.0
398,D4,118.659,67/125,90,120.0
399,F#4,118.659,67/125,90,120.0
400,A3,119.195,133/250,90,120.0
401,F#4,119.195,133/250,90,120.0
402,D4,119.195,133/250,90,120.0
403,F#4,119.195,133/250,90,120.0
404,G2,119.755,49/200,77,120.0
405,B3,119.755,49/200,77,120.0
406,D4,119.755,49/200,77,120.0
407,G3,119.777,223/1000,54,120.0
408,G3,120.0,241/1000,54,120.0
409,G2,120.0,309/1000,77,120.0
410,B3,120.0,309/1000,77,120.0
411,D4,120.0,309/1000,77,120.0
412,D4,120.309,209/500,54,120.0
413,G3,120.309,559/1000,74,120.0
414,B3,120.309,559/1000,74,120.0
415,G2,120.309,559/1000,74,120.0
416,G3,120.868,291/500,68,120.0
417,B3,120.868,291/500,68,120.0
418,D4,120.868,291/500,68,120.0
419,G2,120.868,291/500,68,120.0
420,G3,121.45,243/500,61,120.0
421,D4,121.45,243/500,61,120.0
422,B3,121.45,509/1000,76,120.0
423,D4,121.45,509/1000,76,120.0
424,G2,121.45,509/1000,76,120.0
425,A2,122.005,1673/1000,99,120.0
426,A3,122.005,407/500,50,120.0
427,C#4,122.027,67/125,71,120.0
428,E4,122.027,7/20,40,120.0
429,C#4,122.564,111/200,65,120.0
430,E4,122.586,79/200,44,120.0
431,C#4,123.118,559/1000,72,120.0
432,A2,123.677,323/1000,82,120.0
433,C#4,123.677,323/1000,82,120.0
434,A2,124.0,59/250,82,120.0
435,C#4,124.0,59/250,82,120.0
436,A2,124.236,559/1000,77,120.0
437,A3,124.236,559/1000,77,120.0
438,C#4,124.236,559/1000,77,120.0
439,C#4,124.795,111/200,67,120.0
440,A2,124.795,111/200,67,120.0
441,A3,124.795,111/200,67,120.0
442,A2,125.373,67/125,73,120.0
443,A3,125.373,67/125,73,120.0
444,C#4,125.373,67/125,73,120.0
445,A3,125.932,559/1000,64,120.0
446,E4,125.932,79/200,49,120.0
447,C#4,125.932,58/125,74,120.0
448,A2,125.932,58/125,74,120.0
449,D3,126.491,133/250,80,120.0
450,A3,126.491,133/250,80,120.0
451,D4,126.491,133/250,80,120.0
452,F#4,126.491,133/250,80,120.0
453,A3,127.045,67/125,74,120.0
454,D4,127.045,67/125,74,120.0
455,F#4,127.045,67/125,74,120.0
456,D3,127.045,67/125,74,120.0
457,D4,127.582,209/500,77,120.0
458,D3,127.582,209/500,77,120.0
459,A3,127.582,209/500,77,120.0
460,F#4,127.582,209/500,77,120.0
461,D4,128.0,41/250,77,120.0
462,D3,128.0,41/250,77,120.0
463,A3,128.0,41/250,77,120.0
464,F#4,128.0,41/250,77,120.0
465,D3,128.164,58/125,73,120.0
466,D4,128.164,58/125,73,120.0
467,A3,128.186,559/1000,85,120.0
468,F#4,128.186,791/1000,69,120.0
469,F#2,128.723,111/200,92,120.0
470,A3,128.723,111/200,92,120.0
471,F#3,128.745,46/125,54,120.0
472,F#2,129.3,291/500,76,120.0
473,A3,129.3,291/500,76,120.0
474,F#4,129.3,291/500,76,120.0
475,F#3,129.859,323/1000,40,120.0
476,F#2,129.859,559/1000,78,120.0
477,A3,129.859,559/1000,78,120.0
478,F#4,129.859,559/1000,78,120.0
479,F#2,130.414,58/125,78,120.0
480,A3,130.414,58/125,78,120.0
481,F#4,130.414,58/125,78,120.0
482,C#4,130.441,69/200,45,120.0
483,G2,130.995,67/125,83,120.0
484,B3,130.995,67/125,83,120.0
485,D4,130.995,67/125,83,120.0
486,D4,131.532,117/250,47,120.0
487,G2,131.532,117/250,73,120.0
488,G3,131.532,117/250,73,120.0
489,B3,131.532,117/250,73,120.0
490,D4,132.0,227/1000,47,120.0
491,G2,132.0,91/1000,73,120.0
492,G3,132.0,91/1000,73,120.0
493,B3,132.0,91/1000,73,120.0
494,G3,132.091,133/250,78,120.0
495,B3,132.091,133/250,78,120.0
496,G2,132.091,133/250,78,120.0
497,G2,132.645,559/1000,86,120.0
498,D4,132.645,491/1000,52,120.0
499,G3,132.645,117/250,75,120.0
500,B3,132.645,117/250,75,120.0
501,A2,133.205,142/125,99,120.0
502,C#4,133.205,559/1000,68,120.0
503,A3,133.227,13/20,49,120.0
504,E4,133.227,7/20,50,120.0
505,C#4,133.764,111/200,58,120.0
506,E4,133.764,111/200,58,120.0
507,A2,134.341,559/500,91,120.0
508,E4,134.341,373/1000,60,120.0
509,A3,134.341,559/1000,58,120.0
510,C#4,134.341,559/1000,58,120.0
511,A3,134.9,559/1000,52,120.0
512,C#4,134.9,491/1000,78,120.0
513,D2,135.459,277/1000,29,120.0
514,D3,135.459,541/1000,79,120.0
515,A3,135.459,541/1000,79,120.0
516,D4,135.459,541/1000,79,120.0
517,F#4,135.459,541/1000,79,120.0
518,D3,136.0,9/500,79,120.0
519,A3,136.0,9/500,79,120.0
520,D4,136.0,9/500,79,120.0
521,F#4,136.0,9/500,79,120.0
522,D3,136.018,111/200,74,120.0
523,A3,136.018,111/200,74,120.0
524,D4,136.018,111/200,74,120.0
525,F#4,136.018,111/200,74,120.0
526,D3,136.573,559/1000,77,120.0
527,A3,136.573,559/1000,77,120.0
528,D4,136.573,559/1000,77,120.0
529,F#4,136.573,559/1000,77,120.0
530,D3,137.132,559/1000,74,120.0
531,D4,137.132,559/1000,74,120.0
532,A3,137.132,509/1000,82,120.0
533,F#4,137.132,509/1000,82,120.0
534,G3,137.691,577/1000,63,120.0
535,B3,137.691,577/1000,63,120.0
536,D4,137.691,577/1000,63,120.0
537,G2,137.782,509/1000,101,120.0
538,B3,138.268,559/1000,75,120.0
539,D4,138.268,559/1000,75,120.0
540,G2,138.268,559/1000,75,120.0
541,G3,138.291,327/1000,49,120.0
542,G3,138.827,67/125,72,120.0
543,B3,138.827,67/125,72,120.0
544,D4,138.827,67/125,72,120.0
545,G2,138.827,67/125,72,120.0
546,G3,139.364,209/500,55,120.0
547,B3,139.364,509/1000,87,120.0
548,G2,139.364,509/1000,87,120.0
549,D4,139.364,509/1000,74,120.0
550,G2,139.364,509/1000,74,120.0
551,A2,139.918,41/500,67,120.0
552,A3,139.918,41/500,67,120.0
553,C#4,139.918,41/500,67,120.0
554,E4,139.918,41/500,67,120.0
555,A2,140.0,473/1000,67,120.0
556,A3,140.0,473/1000,67,120.0
557,C#4,140.0,473/1000,67,120.0
558,E4,140.0,473/1000,67,120.0
559,E4,140.5,141/500,56,120.0
560,A2,140.5,291/500,72,120.0
561,A3,140.5,291/500,72,120.0
562,C#4,140.5,291/500,72,120.0
563,A3,141.082,791/1000,53,120.0
564,C#4,141.082,559/1000,64,120.0
565,E4,141.082,277/1000,51,120.0
